法人番号,空欄,空欄,空欄,サービスの名称（最大40文字）,サブタイトル（最大40文字）,サービスの対象者,サービスの対象分野,都道府県（全国サービスの場合はチェックなし）,対象地域群,空欄,空欄,空欄,サービス概要（最大200文字）,,空欄,開始日,終了日,サービス期間に関して自由に記入してください。（最大２０文字）,空欄,詳細情報URL,企業名等,空欄,空欄,サービス対象の業種（標準産業分類）,［事業者向けサービス］支援対象事業ステージ,［事業者向けサービス］サービス分類,［事業者向けサービス］「お困りごと」,［個人向けサービス］ライフステージ,［個人向けサービス］サービス分類,［個人向けサービス］お困りごと,災害名,キーワード,空欄,空欄,空欄,情報更新日,空欄,空欄,空欄,サービス費用,サービス詳細分類,［教育用サービスの場合］教育用サービス内容,主な所属団体名,記入者の連絡先（メールアドレス）・・非公開,本情報は、業界団体などを通じて各企業が登録した情報であり、情報の内容、情報活用等により生じた一切の責任を政府は負いません。情報源を確認するなどして、利用者の判断で活用してください。
,,,,「gacco」,,個人利用・学校利用（両方）,教育、学習支援,,,,,,"さまざまなジャンルの講座を無料で受講することができます。
インターネットの基礎知識など家族で学べるコンテンツも提供しています。",,,,,,,https://gacco.org/,株式会社NTTドコモ,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-03,,,,割引,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,「考える力養成講座」,,個人（中学・高校生向け）（先着100名様）,教育、学習支援,,,,,,学校で学んだ知識と経験を総動員して自ら「考え」「行動」し、「今、自分は何をすべきなのか？」という問いに立ち向かうためのオンライン講座「考える力養成講座」を全３回にわたって行います。,,,,,,,https://event.aigrow.jp/class_online,Institution for a Global Society 株式会社,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-05,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,遠隔授業・イベント配信向け　クラウド会議サービス 「Cisco Webex」,,教育機関,教育、学習支援,,,,,,クラウド型Web会議システム「Cisco Webex Meetings」を無償提供します。教育機関での遠隔授業、先生方同士の連絡手段として、また保護者の方々とのコミュニケーション、行事イベント等のライブ中継、録画配信（Facebook等とも連携できます。）にご利用いただけます。国内外問わず、これまで、世界各国の教育機関において活用実績も多数あります。,,,,,利用開始日より90日間,,"https://www.cisco.com/c/m/ja_jp/solutions/collaboration/webex90days.html?dti
d=odicdc000136
",シスコシステムズ合同会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,Web会議,,,,2020-03-05,,,,無料,ビデオ会議,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,すき！がみつかる　放課後「たのしーと」,,学童施設向け・家庭向け,教育、学習支援,,,,,,小学校低学年向けの遊びを無料で提供するWEBサービス。学童施設向けでしたが、小学校が休校となってご家庭にいるお子さま向けにも対象を拡大しました。遊びと学びのプロたちが 「子どもたちに夢中になって欲しい」という思いを込めて制作した「工作」「体あそび」「言葉」「数・図形」など、 幅広いジャンルの遊びのタネがそろっています。,,,,,,,https://houkago.asahi.com/,株式会社朝日新聞社,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-05,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,Office 365 アカウントの無償発行,,教育機関,教育、学習支援,,,,,,"世界中の企業や教育機関で利用されているOffice 365のオンライン版を、無償でお使いいただけます。離れていても共同編集できるWord, PowerPoint や Excel はもちろん、状況確認やアンケート調査で使える Forms や、コミュニケーションツールやライブ配信ができる Teams なども、無償でお使いいただけます。Office 365 のオンライン版は教育機関のお客様には恒久的に無償でお使いいただけます。",,,,,春休み期間が終わるまで (応相談),,https://www.learning-innovation.go.jp/covid_19/microsoft/,日本マイクロソフト株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,文書作成,,,,2020-03-05,,,,無料,,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,Microsoft Teams でライブイベント,,教育機関,教育、学習支援,,,,,,卒業式や学習発表会、入学式などをTeamsを使ってオンライン上で配信することにより、当日参加できない保護者の方々にも、現場の雰囲気を伝えることができます。完全オンラインでの配信も可能ですので、教職員のスピーチや発表を生徒や保護者は自宅からリアルタイムで視聴することもできます。記念すべき大事なイベントをオンライン上で再現することにより、思い出に残る1日となるよう、設備や設置、当日の運営も含め、すべてサポート致します。,,,,,春休み期間が終わるまで (応相談),,https://www.learning-innovation.go.jp/covid_19/microsoft/,日本マイクロソフト株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンラインイベント配信,,,,2020-03-05,,,,無料,イベント支援,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,Surface 端末の無料貸出 (貸出台数に上限あり),,教育機関,教育、学習支援,,,,,,Microsoft Teams を使ったライブイベントをするためのデバイスが必要な方のために、ライブ配信用の機材として Surface の無料貸出を実施いたします。Microsoft の純正端末である Surface は、Microsoft Teams を始めとする様々なクラウドソリューションと組み合わせて上質な ICT 教育環境を実現できる端末として、従来より広く教育機関のお客様にお届けしてきました。,,,,,春休み期間が終わるまで (応相談),,https://www.learning-innovation.go.jp/covid_19/microsoft/,日本マイクロソフト株式会社,,,,,現物支給・貸与,,,,,新型コロナウイルス感染症,貸与端末,,,,2020-03-05,,,,無料,,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,教員向け オンライン研修,,教育機関,教育、学習支援,,,,,,マイクロソフトは、教員向けに無償のオンライン研修を提供しています。世界中の教員の実践事例を基にした研修を無償でうけることが可能ですので、最新のICTツールを使った授業の参考や、教員のスキルアップのために、是非ご活用ください。,,,,,春休み期間が終わるまで (応相談),,https://www.learning-innovation.go.jp/covid_19/microsoft/,日本マイクロソフト株式会社,,,,,サービス提供,,,,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-05,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,サイエンス動画教材「MIT+K12ビデオ」,,個人,教育、学習支援,,,,,,"MIT（マサチューセッツ工科大学）が提供するサイエンス動画教材「MIT+K12ビデオ」（STEM教育ビデオ）を無償提供いたします。
すべての動画は1本５分程度で学習しやすく、動画数は13コース、110本以上です。
内容は物理、化学、生物、電気などのほか、デザイン、ニュークリアサイエンス、Science Out Loud（先進科学詰め合わせ）など。すべて日本語・英語字幕付きです。",,,,,,,https://www.asuka-academy.com/mitk12/index.html,NPO法人 Asuka Academy,,,,,,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-04,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
,,,,休校中の子供たちにぜひ見て欲しい！科学技術の面白デジタルコンテンツ,,,教育、学習支援,,,,,,"休校中の子供たちにぜひ見て欲しい！科学技術の面白デジタルコンテンツ（科学技術広報研究会）
家庭で長い時間を過ごす子供達のために、全国の大学・研究機関の広報担当者有志（科学技術広報研究会《JACST》）が、自身が所属する研究機関のデジタルコンテンツの中から子供たちにぜひ見て欲しいと思う作品を集めたサイトを開設しました。",,,,,,,https://sites.google.com/view/jacst-for-kids/,科学技術広報研究会,,,,,サービス提供,,,サービス提供,,新型コロナウイルス感染症,オンライン学習,,,,2020-03-03,,,,無料,オンライン授業,,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,,
