分野,サービス分類,キーワード,サービス名称,対象者,開始日,終了日,期間備考,無料/有料,導入支援有無,企業等,詳細,発表日付,URL,情報源,情報源にCFJと記載されているものは、CFJが収集したデータであり、CFJが作成したり責任を持って提供する情報では有りません。情報の利用は、各利用者の判断でお願いします。
教育、学習支援,サービス提供,授業支援,「schoolTakt」,学校への提供,2020-03-02,2020-05-31,,無料,,株式会社コードタクト,新型コロナウイルスの影響を受けて休校となる全国の国公私立小・中・高等学校のうち、授業支援システム「schoolTakt」を未導入の学校に対し、schoolTaktを期間限定で無償提供することを決定いたしました。また、今回の無償提供学校も含めた全てのschoolTakt導入校に対して、schoolTaktを活用したオンライン卒業式の支援をいたします。,3/1/2020,https://codetakt.com/news/202002/29/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,学習相談,学習メンターによるLINE学習相談,個人への提供,,2020-03-31,,無料,,株式会社トモノカイ,自宅学習の際に発生する質問や相談ができない子どもたちのために「学習メンターによるLINE学習相談」（上限1000名）を無償で実施いたします。様々な自治体で導入されているLINEによる相談受付管理システムを活用し、トモノカイの25万人を超える難関大学生データベースから厳選された「学習メンター」が、在宅で勉強をする子どもたちの質問対応や勉強法の相談対応、進路のアドバイス等を行います。,3/1/2020,https://www.tomonokai-corp.com/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,新しいWEB演習システム「デキタス・コミュ」,学校への提供,,,ご利用開始より1カ月間,無料,,株式会社城南進学研究社,"個別指導の城南コベッツで使用している、スマホやタブレットで使えるオンライン演習システム
対象は小学5年から高校3年生まで。
３レベルに分かれた1問1答形式の問題が豊富に搭載されています。
「対戦モード」を利用して、学校の仲間と競い合いながら学習することが可能です。",3/1/2020,https://www.covez.jp/junior/gonavi/gonavi03.html,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,遠隔授業,遠隔授業向け クラウドビデオ会議サービス「Zoom」,学校への提供,,2020-04-30,,無料,,Zoom,"Zoomは世界で最も利用されている遠隔会議、遠隔セミナー、遠隔授業向けクラウドビデオ会議サービスです。
この度、日本国内教育関係者様へサービス無償提供致します。１会議最大300名まで時間制限なし回数制限なしでご利用可能。（通常は3名以上100名以下のグループミーティングは40分まで）その他、最大500名規模の遠隔セミナー向けサービスも提供可能です。",3/1/2020,https://zoom.us/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,オンライン授業 YouTubeのライブ配信,個人への提供,2020-03-02,2020-03-20,平日10:30～12:00,無料,,探究学舎,"探究学舎はこれまで、歴史・宇宙・元素・ロボット・建築・金融・経済など、子どもたちの興味が広がる授業を独自に制作し、数万人の親子にお届けしてきました。また1年前からは一部の授業をオンラインで配信してきました。
数百時間分のプログラム、そしてオンライン配信技術。こうしたものを今こそ有効に活用しよう！そして何よりも、子どもたちにクリエイティブな時間を過ごしてもらおう！そんな思いから、来週3/2より毎日授業を配信します！",2/29/2020,https://tanqgakusha.jp/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,「タンキューオンラインスクール」,個人利用・学校利用（両方）,2020-03-02,2020-03-20,,原則無料　(一部有料もあり),,tanQ株式会社,"オンラインイベントが無料で受け放題です。
タンキューオンラインスクール臨時開校します。",2/29/2020,https://www.tanqfamily.com/tanqschool,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,オンライン学習アプリ「N予備校」,個人への提供,2020-03-01,,終了時期未定,無料,,株式会社ドワンゴ,"オンラインで自宅で学べるオールインワン学習アプリで家庭学習支援「N予備校」は、ドワンゴがN高と連携し独自に開発した、授業、教材（問題集・参考書）、Q＆Aシステムが一つになった学習アプリです。インターネットを活用することで、いつでもどこでも学習を進めることが可能です。
ライブ配信の生授業では、コメント機能を使って挙手や質問ができるなど双方向の参加型授業を受けることができ、アーカイブされた映像授業では、ノートを取る時に一時停止したり、わからなかった所は何度も見返すことができたりと、自分のペースで学べます。
また、大学受験の授業では、指導経験豊富で受験を知り尽くした実力派予備校講師陣、プログラミングでは、現役エンジニアが講師を務めます。両者は今回の無料開放によって、多くの生徒・保護者が抱える家庭学習への不安を解消する一助となればと考えています。",2/29/2020,https://nnn.ed.jp/news/blog/archives/10023.html,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,「アンカー」,個人への提供,,2020-03-31,3月初旬から3月末予定,無料,,株式会社Study Valley,AIで算数の「できる」を増やす、小学生向け学習サービス「アンカー」。学校のテストや宿題の写真を送るだけで、AIにより苦手な分野を特定し、一人ひとりにあった授業動画や練習問題を提供します。,2/29/2020,https://studyvalley.wixsite.com/anchor,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,公式YouTubeチャンネル,個人への提供,,2020-04-30,,無料,,Ｚ会グループ,中高生を対象とし、さまざまなジャンルで活躍する人の講義を受けることができるＺ会Asteriaの「探究学習」。学習を通じて自分たちが生きる社会の課題について深く考えたり、近い将来自分はどのように社会に貢献できるかを考えたりすることができます。,2/29/2020,https://www.youtube.com/zkaipr,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,思考力育成アプリ,「Think!Think!（シンクシンク）」,個人への提供,2020-03-01,2020-03-31,,無料,,ワンダーラボ株式会社,Think!Think!（シンクシンク）は150か国・延べ100万ユーザーに利用されている、5-10歳向けの思考力育成アプリです。,2/29/2020,https://prtimes.jp/main/html/rd/p/000000047.000012970.html#this-week,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,ICT教材「eboard（イーボード）」,個人利用・学校利用（両方）,,,,無料,,NPO法人eboard,"ICT教材eboardは、インターネット環境があれば、パソコンやタブレット、スマートフォンなど環境を問わず、小中学校の内容を学習できます。2,500本の映像授業での丁寧な理解から、7,000問以上のデジタルドリルでの確認・定着まで、幅広くご利用頂けます。",2/29/2020,https://info.eboard.jp/2020/02/27/coronavirus_action/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習コミュニティ,「Inspire High（インスパイア・ハイ）」,個人利用・学校利用（両方）,,2020-03-14,,無料,,株式会社cinra,Inspire High（インスパイア・ハイ）は、アーティストやビジネスリーダー、研究者など、第一線で活躍し、自分の人生を楽しむ様々な大人から、自分の世界を広げるインスピレーションをもらう、13歳〜19歳のためのオンラインラーニングコミュニティです。,2/29/2020,https://www.inspirehigh.com/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,日本最大級 学校向けプラットフォーム「Classi」,学校への提供（高校中心）,2020-03-09,2020-04-30,,無料,,Classi株式会社,"〇「コミュニケーション（校内グループ）機能」　※先生・生徒・保護者向け
〇「コミュニケーション（校外グループ）機能」　※先生向け
〇「学習動画機能」　※生徒向け
〇「Webテスト」　※先生・生徒向け
〇「EnglishCentral（Classi連携サービス）」　※生徒向け　",2/28/2020,https://corp.classi.jp/news/1785/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,現物貸与,端末、回線,Chromebook LTE／G Suite,学校への提供,,,春休みが終わるまでの期間,無料,,Google,学校活動が休止中の学校を（全国の国立・公立・私立の小・中・高等学校（中高一貫教育校、採用校を含む）を対象にデジタル学習教材を利用できる環境にない子どもたちにLTE端末を無償で貸出いたします。,2/28/2020,https://edu.google.com/intl/ja/?modal_active=none,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,スマートに学べる問題集「リブリー」,学校への提供,,,春休み期間終了（2020年4月上旬）まで,無料,,株式会社Libry,スマートに学べる問題集「リブリー」は、既存の教科書や問題集をデジタル化し、生徒一人ひとりの学習履歴に基づいた個別最適化学習ができる「デジタル教材」です。現在、約500の中学校・高等学校に提供しています。,2/28/2020,https://prtimes.jp/main/html/rd/p/000000001.000054682.html,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,授業動画,「アオイゼミ」,個人への提供,,2020-03-31,,無料,,Z会グループ・株式会社葵,80万人の中学生・高校生が利用するオンライン学習塾「アオイゼミ」のすべての中学生・高校生を対象に、期間限定で授業動画を無料開放いたします。,2/28/2020,https://www.zkai-gr.co.jp/news/4783/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,学習コンテンツ,無学年式 AI×アダプティブラーニング「すらら」,学校への提供,,2020-03-31,,無料,,株式会社すらら,AI×アダプティブラーニング教材「すらら」は小学校から高校までの国語、算数／数学、英語、理科、社会 5教科*の学習を、先生役のアニメーションキャラクターと一緒に、一人一人の理解度に合わせて進めることができるアダプティブな eラーニング教材です。,2/28/2020,https://prtimes.jp/main/html/rd/p/000000246.000003287.html,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,英語学習,「e-Spire」,学校への提供,2020-03-09,2020-04-30,,無料,,Institution for a Global Society,"「e-Spire」は、VOCABULARY、READING、LISTENING、WRITING の４つのユニットで構成された中学・高校生向けのオンライン英語学習プラットフォームです。各ユニットは入門・初級レベルからネイティブに近い上級レベルまで全75段階。生徒は豊富かつ幅広い難易度の問題に自分の習熟やペースに合わせて自由に取り組むことができます。
また、AIによる英作文の自動採点機能や学習管理のしやすさなどから先生のご負担が少ないというのも特長の一つです。",2/28/2020,https://www.aigrow.jp/cont/cont_espire,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,小学校向けクラウド型デジタル教材「基礎・基本 国語検定」「基礎・基本 計算検定」,学校への提供,,2020-03-31,,無料,,チエル株式会社,"小学校向けクラウド型デジタル教材『基礎・基本 国語検定』及び『基礎・基本 計算検定』を2020年３月末まで無償提供いたします。休校期間中の児童のみなさまの家庭等での学習に、ぜひお役立てください。
●クラウドだからいつでもどこでも学習できる
●先生方は児童の学習の進捗状況をリアルタイムで確認
●学年を自由に選べるので学び直しにも最適",3/3/2020,https://www.chieru.co.jp/press-releases/products/press-releases-4382/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,「gacco」,個人利用・学校利用（両方）,,,,一部有料,,株式会社NTTドコモ,"さまざまなジャンルの講座を無料で受講することができます。
インターネットの基礎知識など家族で学べるコンテンツも提供しています。",3/3/2020,https://gacco.org/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,LEARN at HOMEプロジェクト,個人への提供,,2020-03-31,状況次第で延長,無料,,株式会社 増進堂・受験研究社,"各種オンラインプログラム・サービスを期間限定で無料にて提供します。
提供プログラムは毎日変わりますので、必要なアンケートにお答えの上、公式LINEに友だち登録をしてください。",3/3/2020,https://prtimes.jp/main/html/rd/p/000000007.000043401.html,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,「考える力養成講座」,個人への提供（中学・高校生向け）（先着100名様）,,,,無料,,Institution for a Global Society 株式会社,学校で学んだ知識と経験を総動員して自ら「考え」「行動」し、「今、自分は何をすべきなのか？」という問いに立ち向かうためのオンライン講座「考える力養成講座」を全３回にわたって行います。,3/5/2020,https://event.aigrow.jp/class_online,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,コミュニケーション支援, 「LINC Biz」チャットとビデオ会議で 教育関係者の不安をサポート,学校・学習塾等への提供,,2020-04-30,,無料,,株式会社AIoTクラウド（シャープグループ）,チャットによる学校、教員、教育関係者でのコミュニケーションや 、ビデオ会議による遠隔会議、セミナー実施で、教育機関関係者の 臨時 テレワークをサポートします。また学習塾でのビデオ会議での遠隔授業などにもご利用いただけます。ビデオ会議とチャットの両方で教育関係者様のコミュニケーションを応援します。,3/5/2020,https://getlincbiz.jp/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,Web会議,遠隔授業・イベント配信向け　クラウド会議サービス 「Cisco Webex」,学校への提供,,,利用開始日より90日間,無料,,シスコシステムズ合同会社,クラウド型Web会議システム「Cisco Webex Meetings」を無償提供します。教育機関での遠隔授業、先生方同士の連絡手段として、また保護者の方々とのコミュニケーション、行事イベント等のライブ中継、録画配信（Facebook等とも連携できます。）にご利用いただけます。国内外問わず、これまで、世界各国の教育機関において活用実績も多数あります。,3/5/2020,"https://www.cisco.com/c/m/ja_jp/solutions/collaboration/webex90days.html?dti
d=odicdc000136
",#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,すき！がみつかる　放課後「たのしーと」,学童施設向け・家庭向け,,,,無料,,株式会社朝日新聞社,小学校低学年向けの遊びを無料で提供するWEBサービス。学童施設向けでしたが、小学校が休校となってご家庭にいるお子さま向けにも対象を拡大しました。遊びと学びのプロたちが 「子どもたちに夢中になって欲しい」という思いを込めて制作した「工作」「体あそび」「言葉」「数・図形」など、 幅広いジャンルの遊びのタネがそろっています。,3/5/2020,https://houkago.asahi.com/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,文書作成,Office 365 アカウントの無償発行,学校への提供,,,春休み期間が終わるまで (応相談),無料,,日本マイクロソフト株式会社,"世界中の企業や教育機関で利用されているOffice 365のオンライン版を、無償でお使いいただけます。離れていても共同編集できるWord, PowerPoint や Excel はもちろん、状況確認やアンケート調査で使える Forms や、コミュニケーションツールやライブ配信ができる Teams なども、無償でお使いいただけます。Office 365 のオンライン版は教育機関のお客様には恒久的に無償でお使いいただけます。",3/5/2020,https://www.learning-innovation.go.jp/covid_19/microsoft/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンラインイベント配信,Microsoft Teams でライブイベント,学校への提供,,,春休み期間が終わるまで (応相談),無料,有,日本マイクロソフト株式会社,卒業式や学習発表会、入学式などをTeamsを使ってオンライン上で配信することにより、当日参加できない保護者の方々にも、現場の雰囲気を伝えることができます。完全オンラインでの配信も可能ですので、教職員のスピーチや発表を生徒や保護者は自宅からリアルタイムで視聴することもできます。記念すべき大事なイベントをオンライン上で再現することにより、思い出に残る1日となるよう、設備や設置、当日の運営も含め、すべてサポート致します。,3/5/2020,https://www.learning-innovation.go.jp/covid_19/microsoft/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,現物貸与,貸与端末,Surface 端末の無料貸出 (貸出台数に上限あり),学校への提供,,,春休み期間が終わるまで (応相談),無料,,日本マイクロソフト株式会社,Microsoft Teams を使ったライブイベントをするためのデバイスが必要な方のために、ライブ配信用の機材として Surface の無料貸出を実施いたします。Microsoft の純正端末である Surface は、Microsoft Teams を始めとする様々なクラウドソリューションと組み合わせて上質な ICT 教育環境を実現できる端末として、従来より広く教育機関のお客様にお届けしてきました。,3/5/2020,https://www.learning-innovation.go.jp/covid_19/microsoft/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,教員向け オンライン研修,学校への提供,,,春休み期間が終わるまで (応相談),無料,,日本マイクロソフト株式会社,マイクロソフトは、教員向けに無償のオンライン研修を提供しています。世界中の教員の実践事例を基にした研修を無償でうけることが可能ですので、最新のICTツールを使った授業の参考や、教員のスキルアップのために、是非ご活用ください。,3/5/2020,https://www.learning-innovation.go.jp/covid_19/microsoft/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習, 「English 4skills」,学校利用,,2020-03-31,,無料,,株式会社NTTドコモ,"英語4技能をいつでもどこでもオンラインで学習ができます。
英語4技能のレベル測定ができるテストや生徒への課題配信も可能です。",3/4/2020,https://e4skills.com/news/article200303/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習, テクノロジア魔法学校(入門・基礎編全63レッスン),個人への提供（小学生・中学生・高校生・教職員）,2020-03-04,2020-03-17,,無料,,ライフイズテック株式会社,ディズニーの世界を楽しみながらプログラミングやクリエイティビティをオンラインで学ぶことのできるプログラミング学習教材「テクノロジア魔法学校」(入門・基礎編全63レッスン)を小中高生、教職員の方を対象に休校期間にあたる2週間（3/4-3/17）の間、無料で提供することを決定しました。,3/4/2020,https://life-is-tech.com/news/news/200303_technologia,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,サイエンス動画教材「MIT+K12ビデオ」,個人への提供,,,,無料,,NPO法人 Asuka Academy,"MIT（マサチューセッツ工科大学）が提供するサイエンス動画教材「MIT+K12ビデオ」（STEM教育ビデオ）を無償提供いたします。
すべての動画は1本５分程度で学習しやすく、動画数は13コース、110本以上です。
内容は物理、化学、生物、電気などのほか、デザイン、ニュークリアサイエンス、Science Out Loud（先進科学詰め合わせ）など。すべて日本語・英語字幕付きです。",3/4/2020,https://www.asuka-academy.com/mitk12/index.html,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,AI英会話アプリ「TerraTalk」,学校への提供,2020-03-02,2020-03-31,,無料,,ジョイズ株式会社,"英会話学習アプリケーションの 『TerraTalk（テラトーク）』を、家庭学習のサポートとして期間限定で一部無償提供を開始することを決定いたしました。
AIとの英会話を通じて様々な場面での実践的な英語をいつでも・どこでも自分のペースでレッスンすることができます。学習管理システムも合わせてご利用していただき、家庭学習への不安を解消するお手伝いができればと思っております。",3/3/2020,https://www.joyz.co.jp/news/coronavirusaction/20200229,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
教育、学習支援,サービス提供,オンライン学習,休校中の子供たちにぜひ見て欲しい！科学技術の面白デジタルコンテンツ,,,,,無料,,科学技術広報研究会,"休校中の子供たちにぜひ見て欲しい！科学技術の面白デジタルコンテンツ（科学技術広報研究会）
家庭で長い時間を過ごす子供達のために、全国の大学・研究機関の広報担当者有志（科学技術広報研究会《JACST》）が、自身が所属する研究機関のデジタルコンテンツの中から子供たちにぜひ見て欲しいと思う作品を集めたサイトを開設しました。",3/3/2020,https://sites.google.com/view/jacst-for-kids/,#学びを止めない未来の教室（https://www.learning-innovation.go.jp/covid_19/）,
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,ウェブ会議システムCisco Webex Meetings,企業,2020-02-25,,,無料,有,シスコシステムズ,テレワークで活用できるWeb会議システム「LiveOn」・リモートアクセスツール「RemoteOn」の導入支援・サポート,2/25/2020,http://www.cisco.com/jp/go/webex90days,（一社）日本テレワーク協会,
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,Web会議システムLiveOn、リモートアクセスツールRemoteOn,企業,2020-02-26,2020-07-31,,有料,有,ジャパンメディアシステム,テレワークで活用できるWeb会議システム「LiveOn」・リモートアクセスツール「RemoteOn」の導入支援・サポート,2/26/2020,https://www.liveon.ne.jp/,（一社）日本テレワーク協会,
ワークスタイル（テレワーク含む）,現物貸与,テレワーク,ヘッドセット/スピーカーフォ,企業,2020-02-01,,,一部有料,有,GNオーディジャパン/ Jabra,テレワークに必要なヘッドセット/スピーカーフォンの無料トライアル実施中。100台以上のご購入を検討されているユーザー様に最大5台を無償でプレゼント。製品選定もサポート,2/1/2020,https://www.jabra.jp/c/jp/wfh,（一社）日本テレワーク協会,
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,サテライトオフィス多摩センター,企業,,2020-03-31,,無料,無,キャリア・マム,＜ご利用無料・3月末まで＞サテライトオフィス多摩センターを無料でご利用いただけます。4月からは法人会員制となります（登録費10万円~／年、ご利用都度のご精算）3月までにぜひ一度サテライトオフィス多摩センターでの働き方をご体験ください！,,http://mhlw.c-mam.co.jp/,（一社）日本テレワーク協会,
ワークスタイル（テレワーク含む）,割引,テレワーク,ビジネスチャットWowTalk（ワウトーク）,企業,2020-02-01,2020-03-31,,有料,有,ワウテック,【即日トライアルアカウント発行可能】在宅勤務・テレワークをもっと円滑に！国産ビジネスチャット「WowTalk（ワウトーク）」の導入支援ならびに運用サポート,2/1/2020,https://www.wowtalk.jp/info/wow-campaign2020.html,（一社）日本テレワーク協会,
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,web会議RemoteMeeting、遠隔アクセスツールRemoteView,企業,2020-02-01,2020-04-30,,無料,有,RSUPPORT,【4月30日まで無償提供】テレワークに必要な高品質web会議「RemoteMeeting」遠隔アクセスツール「RemoteView」,2/1/2020,https://forms.gle/pcsgbfojqTNMVu3u5,（一社）日本テレワーク協会,
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,スマートフォンを利用した社内電話システム,企業,2020-02-21,2020-05-31,,一部有料,有,プロディライト,スマートフォンを利用した社内電話システムの構築支援：内線アカウント初期発行費用無料,2/21/2020,https://bit.ly/2TYsThV,（一社）日本テレワーク協会,
ワークスタイル（テレワーク含む）,現物貸与,テレワーク,ヘッドセット,企業,2020-02-27,2020-06-30,,無料,有,ポリコムジャパン,テレワークの必須アイテム、ヘッドセット無償貸出中！Polyが、クリアな音声で確かなコミュニケーションを実現し、ビジネス継続のお手伝いをします。,2/27/2020,http://bit.ly/2wIguTM,（一社）日本テレワーク協会,
ワークスタイル（テレワーク含む）,サービス提供,テレワーク,テレワークリモートワーク環境,企業,,,,無料,有,アクシオ,VPN不要でセキュアなテレワークリモートワーク環境を最短5日で利用可能に。VPNやサーバ環境、専用端末が不要でセキュアなテレワーク環境を短期間で整備できるSoliton SecureDesktop（SSD）を提供しております。,,https://www.axio.co.jp/lp/ssd/,（一社）日本テレワーク協会,
ワークスタイル（テレワーク含む）,その他,テレワーク,テレワークスタートガイド,企業,2020-02-28,,,無料,無,レノボ・ジャパン,全社一斉テレワークのノウハウをまとめた「テレワークスタートガイド」を無償公開,2/28/2020,https://www.lenovo.com/jp/ja/news/article/2020-02-28,（一社）日本テレワーク協会,
